2021-05-13 11:11:25,187 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 000 | Batch: 000 | RegLoss: 88328.76562
2021-05-13 11:11:32,681 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 000 | Batch: 100 | RegLoss: 327.34088
2021-05-13 11:11:44,818 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 001 | Batch: 000 | RegLoss: 265.68622
2021-05-13 11:11:51,737 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 001 | Batch: 100 | RegLoss: 254.63315
2021-05-13 11:12:03,485 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 002 | Batch: 000 | RegLoss: 254.07796
2021-05-13 11:12:10,555 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 002 | Batch: 100 | RegLoss: 251.49225
2021-05-13 11:12:22,661 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 003 | Batch: 000 | RegLoss: 249.73546
2021-05-13 11:12:29,948 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 003 | Batch: 100 | RegLoss: 249.53757
2021-05-13 11:12:41,736 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 004 | Batch: 000 | RegLoss: 249.88885
2021-05-13 11:12:48,957 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 004 | Batch: 100 | RegLoss: 250.98039
2021-05-13 11:13:00,766 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 005 | Batch: 000 | RegLoss: 248.72621
2021-05-13 11:13:07,833 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 005 | Batch: 100 | RegLoss: 248.87756
2021-05-13 11:13:19,756 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 006 | Batch: 000 | RegLoss: 246.33701
2021-05-13 11:13:26,826 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 006 | Batch: 100 | RegLoss: 245.37042
2021-05-13 11:13:38,878 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 007 | Batch: 000 | RegLoss: 249.48161
2021-05-13 11:13:46,220 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 007 | Batch: 100 | RegLoss: 248.14110
2021-05-13 11:13:58,287 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 008 | Batch: 000 | RegLoss: 248.32816
2021-05-13 11:14:05,699 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 008 | Batch: 100 | RegLoss: 245.32101
2021-05-13 11:14:17,332 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 009 | Batch: 000 | RegLoss: 245.42599
2021-05-13 11:14:24,332 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 009 | Batch: 100 | RegLoss: 245.24374
2021-05-13 11:14:34,440 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 010 | Batch: 000 | RegLoss: 244.26888
2021-05-13 11:14:41,591 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 010 | Batch: 100 | RegLoss: 247.54869
2021-05-13 11:14:53,964 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 011 | Batch: 000 | RegLoss: 244.39438
2021-05-13 11:15:01,088 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 011 | Batch: 100 | RegLoss: 246.82535
2021-05-13 11:15:16,015 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 012 | Batch: 000 | RegLoss: 244.95178
2021-05-13 11:15:23,308 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 012 | Batch: 100 | RegLoss: 246.08675
2021-05-13 11:15:35,513 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 013 | Batch: 000 | RegLoss: 245.32092
2021-05-13 11:15:42,681 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 013 | Batch: 100 | RegLoss: 246.72629
2021-05-13 11:15:54,987 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 014 | Batch: 000 | RegLoss: 246.19052
2021-05-13 11:16:02,217 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 014 | Batch: 100 | RegLoss: 247.43591
2021-05-13 11:16:14,275 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 015 | Batch: 000 | RegLoss: 244.10721
2021-05-13 11:16:21,832 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 015 | Batch: 100 | RegLoss: 245.31821
2021-05-13 11:16:32,652 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 016 | Batch: 000 | RegLoss: 243.23779
2021-05-13 11:16:39,631 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 016 | Batch: 100 | RegLoss: 244.27594
2021-05-13 11:16:50,690 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 017 | Batch: 000 | RegLoss: 242.08873
2021-05-13 11:16:57,850 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 017 | Batch: 100 | RegLoss: 244.10728
2021-05-13 11:17:10,066 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 018 | Batch: 000 | RegLoss: 242.37117
2021-05-13 11:17:17,304 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 018 | Batch: 100 | RegLoss: 242.23932
2021-05-13 11:17:29,128 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 019 | Batch: 000 | RegLoss: 241.62482
2021-05-13 11:17:36,214 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 019 | Batch: 100 | RegLoss: 242.50264
2021-05-13 11:17:47,766 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 020 | Batch: 000 | RegLoss: 243.42453
2021-05-13 11:17:54,880 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 020 | Batch: 100 | RegLoss: 241.59381
2021-05-13 11:18:05,543 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 021 | Batch: 000 | RegLoss: 239.87978
2021-05-13 11:18:12,598 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 021 | Batch: 100 | RegLoss: 242.08336
2021-05-13 11:18:24,803 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 022 | Batch: 000 | RegLoss: 242.08556
2021-05-13 11:18:31,510 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 022 | Batch: 100 | RegLoss: 242.24307
2021-05-13 11:18:43,352 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 023 | Batch: 000 | RegLoss: 241.51031
2021-05-13 11:18:50,062 - gradient_boosting.py[line:292] - INFO: Estimator: 000 | Epoch: 023 | Batch: 100 | RegLoss: 241.83582
